,formatted_readme,summary,prompt_text,generated_summary
16,"/** * Process streams get Channel.newChannel()ed into FileChannel but are not actually * seekable. So instead of just the isSeekable check doing instanceof FileChannel, * we must also add this boolean to check, which we set to false when it's known * that the incoming channel is from a process. * * FIXME: This is gross, and it's NIO's fault for not providing a nice way to * tell if a channel is ""really"" seekable. */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * Process streams get Channel.newChannel()ed into FileChannel but are not actually * seekable. So instead of just the isSeekable check doing instanceof FileChannel, * we must also add this boolean to check, which we set to false when it's known * that the incoming channel is from a process. * * FIXME: This is gross, and it's NIO's fault for not providing a nice way to * tell if a channel is ""really"" seekable. */

### Response:",DESIGN.
17,//TODO: shift block down to bottom,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//TODO: shift block down to bottom

### Response:",DESIGN.
18,// TODO: Should we handle <<access>> and <<import>> here?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: Should we handle <<access>> and <<import>> here?

### Response:","DESIGN. Yes, we should."
19,//TODO: make this a bit nicer,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//TODO: make this a bit nicer

### Response:",DESIGN.
20,// TODO: This is a tagged value name which will never trigger an event,DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: This is a tagged value name which will never trigger an event

### Response:",DESIGN.
21,// installColorsAndFont needs to be run twice. Background and foreground // colors only work if run after the super call but font only works if run // before the super call. May be a bug in JDK 1.4,DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// installColorsAndFont needs to be run twice. Background and foreground // colors only work if run after the super call but font only works if run // before the super call. May be a bug in JDK 1.4

### Response:",DEFECT.
22,"// these are used to eliminate code duplication. i don't normally use // the visitor or ""template method"" pattern, but this code was contributed // by Peter Cox and i don't feel like changing it around too much.",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// these are used to eliminate code duplication. i don't normally use // the visitor or ""template method"" pattern, but this code was contributed // by Peter Cox and i don't feel like changing it around too much.

### Response:",DESIGN.
23,// something is very wrong here,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// something is very wrong here

### Response:",DESIGN.
24,// All form parameter always have text/plain as mime type //TODO make this a parameter?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// All form parameter always have text/plain as mime type //TODO make this a parameter?

### Response:",DESIGN.
25,/** * Builds a default implementation for an interface. The interface * is not owned by any model element by default. Users should not * forget to add ownership. * * Interface * TODO: This needs an extra parameter to specify the model/extent where * the new element should be created. */,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * Builds a default implementation for an interface. The interface * is not owned by any model element by default. Users should not * forget to add ownership. * * Interface * TODO: This needs an extra parameter to specify the model/extent where * the new element should be created. */

### Response:",DESIGN. Improve this method to do this automatically.
26,// ************* copied from ConcatTest *************,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// ************* copied from ConcatTest *************

### Response:",DESIGN.
27,// TODO: newTypeError does not offer enough for ruby error string...,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: newTypeError does not offer enough for ruby error string...

### Response:",IMPLEMENTATION.
28,"/** * TODO: MVW: I am not completely sure of the following:<p> * The ""namespace"" of the diagram is e.g. used when creating new elements * that are shown on the diagram; they will have their namespace set * according this. It is NOT necessarily equal to the ""owner"". * * the namespace for the diagram */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * TODO: MVW: I am not completely sure of the following:<p> * The ""namespace"" of the diagram is e.g. used when creating new elements * that are shown on the diagram; they will have their namespace set * according this. It is NOT necessarily equal to the ""owner"". * * the namespace for the diagram */

### Response:",DESIGN.
29,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...

### Response:",DESIGN.
30,"// A Classifier can only have a single unnamed ClassifierRole, so // TODO: This probably belongs in a critic instead of here",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// A Classifier can only have a single unnamed ClassifierRole, so // TODO: This probably belongs in a critic instead of here

### Response:",DESIGN.
31,//FIXME: get the PersistentClass,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//FIXME: get the PersistentClass

### Response:",DESIGN.
32,"//??? For now, use the same renderer as everyone else. //?? //?? IN FUTURE: change this to use a new instance of renederer //?? for this data type.",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//??? For now, use the same renderer as everyone else. //?? //?? IN FUTURE: change this to use a new instance of renederer //?? for this data type.

### Response:",DESIGN.
33,"//TODO: Decide whether this should be a bound property or not. // getPropertyChangeReporter().firePropertyChange(ISQLDriver.IPropertyNames.NAME, _name, _name);",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//TODO: Decide whether this should be a bound property or not. // getPropertyChangeReporter().firePropertyChange(ISQLDriver.IPropertyNames.NAME, _name, _name);

### Response:",DESIGN.
34,"/** * Returns all states that can be recursively contained by the given State. * <p> * TODO: {  getAllPossibleSubvertices(Object)} and * {  getAllSubStates(Object)} are duplicates as implemented for MDR. * It isn't clear from the Javadoc or usage whether they should do different * things or this just happened because no one noticed we already had * another method. * * oState * the Composite state we are searching the states for, * Collection the collection with found states */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * Returns all states that can be recursively contained by the given State. * <p> * TODO: {  getAllPossibleSubvertices(Object)} and * {  getAllSubStates(Object)} are duplicates as implemented for MDR. * It isn't clear from the Javadoc or usage whether they should do different * things or this just happened because no one noticed we already had * another method. * * oState * the Composite state we are searching the states for, * Collection the collection with found states */

### Response:",DESIGN. Duplicate method.
35,// FIXME: This isn't right for within ensured/rescued code,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// FIXME: This isn't right for within ensured/rescued code

### Response:",DESIGN.
36,// hack to get fixed length 'length' field,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// hack to get fixed length 'length' field

### Response:",DESIGN.
37,// TODO: What do we want to use as an equivalent here?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: What do we want to use as an equivalent here?

### Response:",DESIGN. I'd like to use the same equivalent as the other direction.
38,// ?R | boolean | True if file is readable by the real uid/gid of the caller // FIXME: Need to implement an readable_real_p in FileTest,TEST,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// ?R | boolean | True if file is readable by the real uid/gid of the caller // FIXME: Need to implement an readable_real_p in FileTest

### Response:",TEST.
39,"// upper-case package name // TODO: top-level upper-case package was supported in the previous (Ruby-based) // implementation, so leaving as is. see note at  getProxyOrPackageUnderPackage // re: future approach below the top-level.",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// upper-case package name // TODO: top-level upper-case package was supported in the previous (Ruby-based) // implementation, so leaving as is. see note at  getProxyOrPackageUnderPackage // re: future approach below the top-level.

### Response:",DESIGN.
40,// Bug  1757076 // always use false unless user specifies otherwise; this breaks // date editing in Derby (possibly DB2 as well),DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// Bug  1757076 // always use false unless user specifies otherwise; this breaks // date editing in Derby (possibly DB2 as well)

### Response:",DEFECT.
41,// XXX: we should use JCVS (www.ice.com/JCVS) instead of // command line execution so that we don't rely on having // native CVS stuff around (SM),DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// XXX: we should use JCVS (www.ice.com/JCVS) instead of // command line execution so that we don't rely on having // native CVS stuff around (SM)

### Response:",DESIGN.
42,// FIXME: this should go somewhere more generic -- maybe IdUtil,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// FIXME: this should go somewhere more generic -- maybe IdUtil

### Response:",DESIGN.
43,// TODO: This is probably BAD...,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: This is probably BAD...

### Response:",DESIGN. Bad?
44,// TODO Binary incompatibility; an old override must override putAll.,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO Binary incompatibility; an old override must override putAll.

### Response:",DESIGN.
45,"/** * A BufferInputStream that is aware of XML structure. * It searches for the first occurrence of a named tag * and reads only the data (inclusively) from that tag * to the matching end tag or it can search for the first * occurrence of a named tag and read on the child tags. * The tag is not expected to be an empty tag. * <p> * TODO: This is hardwired to assume a fixed single byte * character encoding. It needs to be updated to handle different * encodings, including multi-byte encodings. - tfm 20070607 * * Bob Tarling */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * A BufferInputStream that is aware of XML structure. * It searches for the first occurrence of a named tag * and reads only the data (inclusively) from that tag * to the matching end tag or it can search for the first * occurrence of a named tag and read on the child tags. * The tag is not expected to be an empty tag. * <p> * TODO: This is hardwired to assume a fixed single byte * character encoding. It needs to be updated to handle different * encodings, including multi-byte encodings. - tfm 20070607 * * Bob Tarling */

### Response:",IMPLEMENTATION.
46,//use of a stringbuffer to workaround a JDK bug,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//use of a stringbuffer to workaround a JDK bug

### Response:",DESIGN.
47,// TODO: make it cross runtime safe by COW or eager copy,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: make it cross runtime safe by COW or eager copy

### Response:",DESIGN.
48,/* TODO: THIS IS A HACK. * A much better way of doing this would be not to start * the critic in the first place. */,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/* TODO: THIS IS A HACK. * A much better way of doing this would be not to start * the critic in the first place. */

### Response:",DESIGN. Hack to stop the critic being started.
49,"//TODO: would be nice to use false, but issues with MS SQL",DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//TODO: would be nice to use false, but issues with MS SQL

### Response:",DEFECT.
50,// get the right object from the list ... would it be easier to just call getEntity() ??,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// get the right object from the list ... would it be easier to just call getEntity() ??

### Response:","DESIGN. Yes, it would be easier."
51,"/** * Class to display graphics for a UML SynchState in a diagram. <p> * * TODO: If the font increases, the circle should grow, too. * * pepargouml */",DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * Class to display graphics for a UML SynchState in a diagram. <p> * * TODO: If the font increases, the circle should grow, too. * * pepargouml */

### Response:",IMPLEMENTATION.
52,//TODO add tests for SaveGraphics,TEST,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//TODO add tests for SaveGraphics

### Response:",TEST.
53,// Changed in UML 2.1 - Component with <<subsystem>> stereotype // TODO: We should deprecate this?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// Changed in UML 2.1 - Component with <<subsystem>> stereotype // TODO: We should deprecate this?

### Response:",DESIGN.
54,// TODO: I18N required,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: I18N required

### Response:",IMPLEMENTATION.
55,// TODO could these be done earlier (or just once?),DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO could these be done earlier (or just once?)

### Response:",DESIGN.
56,// TODO: need to get this back into the method signature...now is too late...,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: need to get this back into the method signature...now is too late...

### Response:",DESIGN.
57,// TODO: don't calculate the same value 3 times,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: don't calculate the same value 3 times

### Response:",IMPLEMENTATION.
58,// This is perhaps innefficient timewise? Optimal spacewise,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// This is perhaps innefficient timewise? Optimal spacewise

### Response:",DESIGN.
59,// TODO: We shouldn't need this reflection any more once we have // convinced ourselves that everything with a getItemUID method // is implementing IItemUID,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: We shouldn't need this reflection any more once we have // convinced ourselves that everything with a getItemUID method // is implementing IItemUID

### Response:",DESIGN.
60,// TODO: Considering all delete events to be valid like below // is going to cause lots of unecessary work and some problems,DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: Considering all delete events to be valid like below // is going to cause lots of unecessary work and some problems

### Response:",DEFECT.
61,// stupidity,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// stupidity

### Response:",DESIGN.
62,// TODO - not sure this is the best method,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO - not sure this is the best method

### Response:",DESIGN.
63,// TODO: Something might go wrong during processing. We don't really // want to create the model element until the user releases the mouse // in the place expected.,DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: Something might go wrong during processing. We don't really // want to create the model element until the user releases the mouse // in the place expected.

### Response:",DEFECT.
64,// TODO Revert to SVN revision 2469 in JFreeChart 1.0.16 // (MultipleGradientPaint's / JDK issues) // TODO THEN: change visibility of ALL darker(...) Methods EXCEPT // darker(Paint) to private!,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO Revert to SVN revision 2469 in JFreeChart 1.0.16 // (MultipleGradientPaint's / JDK issues) // TODO THEN: change visibility of ALL darker(...) Methods EXCEPT // darker(Paint) to private!

### Response:",DESIGN.
65,// TODO: Fix this so it will work for non-POJO entity mode,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: Fix this so it will work for non-POJO entity mode

### Response:",DESIGN.
66,// TODO: Make another pass to deal with overlaps?,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: Make another pass to deal with overlaps?

### Response:",DESIGN. Overlaps are not dealt with at present.
67,"// This feels sloppy, especially for non-U.S. locales.",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// This feels sloppy, especially for non-U.S. locales.

### Response:",DESIGN.
68,"// TODO: It would be really, really nice to use this to also model components!",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: It would be really, really nice to use this to also model components!

### Response:",DESIGN.
69,"// TODO: ActionState, CallState, and SubactivityState have been replaced // in UML 2.0 by explicitly modeled Actions",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: ActionState, CallState, and SubactivityState have been replaced // in UML 2.0 by explicitly modeled Actions

### Response:",DESIGN. IMPLEMENTATION. DEFECT.
70,// TODO hubms: copied from frederiks search builder,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO hubms: copied from frederiks search builder

### Response:",DESIGN. I think it would be better to have a SearchResult interface // that contains all the methods that are common to all search results. // Then SearchResultImpl could just implement that interface.
71,"// TODO : we really need to be able to deal with component paths here also; // this is difficult because the hql-sql grammar expects all those node types // to be FromReferenceNodes. One potential fix here would be to convert the // IntoClause to just use a FromClause/FromElement combo (as a child of the // InsertStatement) and move all this logic into the InsertStatement. That's // probably the easiest approach (read: least amount of changes to the grammar // and code), but just doesn't feel right as then an insert would contain // 2 from-clauses",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO : we really need to be able to deal with component paths here also; // this is difficult because the hql-sql grammar expects all those node types // to be FromReferenceNodes. One potential fix here would be to convert the // IntoClause to just use a FromClause/FromElement combo (as a child of the // InsertStatement) and move all this logic into the InsertStatement. That's // probably the easiest approach (read: least amount of changes to the grammar // and code), but just doesn't feel right as then an insert would contain // 2 from-clauses

### Response:",DESIGN.
72,// TODO is this the right thing to do?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO is this the right thing to do?

### Response:",DESIGN.
73,// FIXME: legal here? may want UnsupportedOperationException,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// FIXME: legal here? may want UnsupportedOperationException

### Response:",DESIGN.
74,// TODO: What are these magic numbers?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: What are these magic numbers?

### Response:",DESIGN.
75,"// TODO: Use the SVGWriter2D implementation // cmd = new SaveSVGAction2(Translator.localize(""action.save-svg""));",IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: Use the SVGWriter2D implementation // cmd = new SaveSVGAction2(Translator.localize(""action.save-svg""));

### Response:",DESIGN. Implement SVGWriter2D interface.
76,// TODO: implement,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: implement

### Response:",IMPLEMENTATION.
77,//TODO: Should this be an InitializeEntityEventListener??? (watch out for performance!),DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//TODO: Should this be an InitializeEntityEventListener??? (watch out for performance!)

### Response:",DESIGN.
78,"// TODO: We'd like to test this in its new guise as PackageImport, but // we don't have a good way to do it currently",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: We'd like to test this in its new guise as PackageImport, but // we don't have a good way to do it currently

### Response:",TEST.
79,// TODO: Need UML 2.x equivalent,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: Need UML 2.x equivalent

### Response:",IMPLEMENTATION.
80,"// TODO: This exception will be thrown during autoscrolling // when the edge of the canvas is reached causing either // the width or height to be ""adjusted"" to a negative value",DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: This exception will be thrown during autoscrolling // when the edge of the canvas is reached causing either // the width or height to be ""adjusted"" to a negative value

### Response:",DEFECT.
81,// Does this dialect support the ALTER TABLE syntax?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// Does this dialect support the ALTER TABLE syntax?

### Response:",DESIGN.
